"dbn","school_name","num_of_sat_test_takers","sat_critical_reading_avg_score","sat_math_avg_score","sat_writing_avg_score","internal_school_id","contact_extension","pct_students_tested","academic_tier_rating"
"18K637",ACADEMY FOR CONSERVATION AND THE ENVIRONMENT,"35","363","381","367",483922,,"78%",
"18K642",URBAN ACTION ACADEMY,"40","376","385","374",913691,,"92%",2.0
"18K673",EAST BROOKLYN COMMUNITY HIGH SCHOOL,"12","410","403","378",102816,x234,"78%",2.0
"19K409",EAST NEW YORK FAMILY ACADEMY,"54","416","432","394",839838,x345,"85%",2.0
"19K420",FRANKLIN K. LANE HIGH SCHOOL,s,s,s,s,134918,,"78%",3.0
"19K431",THOMAS JEFFERSON YABC,s,s,s,s,194950,x345,"92%",2.0
"19K502",FDNY HIGH SCHOOL FOR FIRE AND LIFE SAFETY,"37","341","349","333",608509,x345,"78%",4.0
"19K504",HIGH SCHOOL FOR CIVIL RIGHTS,"47","363","349","342",653979,x234,"85%",1.0
"19K507",PERFORMING ARTS AND TECHNOLOGY HIGH SCHOOL,"61","380","386","383",785806,,,1.0
"19K510",WORLD ACADEMY FOR TOTAL COMMUNITY HEALTH HIGH SCHOOL,"68","371","365","370",398688,x234,"85%",3.0
"19K583",MULTICULTURAL HIGH SCHOOL,"29","279","322","286",122756,x345,"78%",3.0
"19K615",TRANSIT TECH CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,"182","395","418","380",132815,x234,"78%",
"19K618",ACADEMY OF INNOVATIVE TECHNOLOGY,"60","371","371","354",965429,x123,"78%",4.0
"19K639",BROOKLYN LAB SCHOOL,"57","360","385","363",869608,x345,"85%",1.0
"19K659",CYPRESS HILLS COLLEGIATE PREPARATORY SCHOOL,"51","376","385","368",509280,x123,"85%",1.0
"19K660",W. H. MAXWELL CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,"74","370","369","363",323270,x345,"78%",4.0
"19K683","THE SCHOOL FOR CLASSICS: AN ACADEMY OF THINKERS, WRITERS AND PERFORMERS","38","383","400","374",741399,x123,"92%",4.0
"20K445",NEW UTRECHT HIGH SCHOOL,"456","402","471","399",364847,x123,"85%",4.0
"20K485",HIGH SCHOOL OF TELECOMMUNICATION ARTS AND TECHNOLOGY,"238","425","474","424",938208,x234,,4.0
"20K490",FORT HAMILTON HIGH SCHOOL,"694","417","478","411",379833,x123,"85%",1.0
"20K505",FRANKLIN DELANO ROOSEVELT HIGH SCHOOL,"385","383","486","375",620218,x345,,3.0
"20K609",THE URBAN ASSEMBLY SCHOOL FOR CRIMINAL JUSTICE,s,s,s,s,263315,x123,"78%",
"20K658",FRANKLIN DELANO ROOSEVELT YABC,"18","338","477","316",361605,,"78%",3.0
"21K337",INTERNATIONAL HIGH SCHOOL AT LAFAYETTE,"54","326","386","314",795681,x345,"85%",4.0
"21K344",RACHEL CARSON HIGH SCHOOL FOR COASTAL STUDIES,"54","402","427","408",422310,x234,"92%",4.0
"21K348",HIGH SCHOOL OF SPORTS MANAGEMENT,"39","388","398","378",723511,x345,"85%",4.0
"21K410",ABRAHAM LINCOLN HIGH SCHOOL,"475","396","437","393",846740,x123,"78%",2.0
"21K412/21K411",ABRAHAM LINCOLN YABC/LEARNING TO WORK GED AT ABRAHAM LINCOLN,s,s,s,s,411797,x123,"78%",4.0
"21K468",KINGSBOROUGH EARLY COLLEGE SCHOOL,s,s,s,s,569504,x345,"78%",3.0
"21K525",EDWARD R. MURROW HIGH SCHOOL,"727","468","496","467",258009,x345,"85%",1.0
"21K540",JOHN DEWEY HIGH SCHOOL,"448","404","468","390",475475,x345,"92%",3.0
"21K559",LIFE ACADEMY HIGH SCHOOL FOR FILM AND MUSIC,"40","384","375","365",274893,x234,"92%",2.0
"21K572",EXPEDITIONARY LEARNING SCHOOL FOR COMMUNITY LEADERS,"40","353","370","356",185479,x345,"78%",1.0
"21K620",WILLIAM E. GRADY CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,"95","394","414","376",192849,x345,,1.0
"21K690",BROOKLYN STUDIO SECONDARY SCHOOL,"119","429","449","435",704701,x234,"85%",2.0
"21K728",LIBERATION DIPLOMA PLUS,"10","411","369","373",502505,x123,"85%",
"22K405",MIDWOOD HIGH SCHOOL,"824","478","519","476",332013,x234,,
"22K425",JAMES MADISON HIGH SCHOOL,"518","436","475","439",327087,x234,"92%",1.0
"22K495",SHEEPSHEAD BAY HIGH SCHOOL,"236","383","392","370",275480,x345,,
"22K535",LEON M. GOLDSTEIN HIGH SCHOOL FOR THE SCIENCES,"259","524","561","542",667336,x123,"92%",2.0
"22K555",BROOKLYN COLLEGE ACADEMY,"131","456","456","440",477867,x234,"78%",4.0
"23K493",BROOKLYN COLLEGIATE: A COLLEGE BOARD SCHOOL,"60","389","409","387",638267,x345,"85%",2.0
"23K514",FREDERICK DOUGLASS ACADEMY VII HIGH SCHOOL,"55","361","371","359",735951,x234,"85%",3.0
"23K643",BROOKLYN DEMOCRACY ACADEMY,"11","349","338","331",452120,x123,"78%",2.0
"23K646",ASPIRATIONS DIPLOMA PLUS HIGH SCHOOL,"7","311","371","311",160203,,"78%",4.0
"23K647",METROPOLITAN DIPLOMA PLUS HIGH SCHOOL,"17","350","346","332",719582,x345,"78%",
"23K697",TEACHERS PREPARATORY HIGH SCHOOL,"69","392","416","388",296255,x234,"92%",1.0
"24Q264",ACADEMY OF FINANCE AND ENTERPRISE,"89","405","454","421",654836,,"85%",
"24Q267",HIGH SCHOOL OF APPLIED COMMUNICATION,"39","406","413","400",554115,,"85%",1.0
"24Q293",CIVIC LEADERSHIP ACADEMY,"69","404","429","407",596521,x345,"85%",4.0
"24Q296",PAN AMERICAN INTERNATIONAL HIGH SCHOOL,"55","317","323","311",378878,,"78%",1.0
"24Q299",BARD HIGH SCHOOL EARLY COLLEGE II,"155","545","568","550",362876,x345,"78%",
"24Q455",NEWTOWN HIGH SCHOOL,"320","383","440","380",344317,x345,"92%",4.0
"24Q457",YOUNG ADULT BOROUGH CENTER AT ARTS AND BUSINESS HS,s,s,s,s,814224,x234,"92%",3.0
"24Q485",GROVER CLEVELAND HIGH SCHOOL,"241","395","420","396",900889,,"78%",2.0
"24Q520",MIDDLE COLLEGE HIGH SCHOOL AT LAGUARDIA COMMUNITY COLLEGE,"58","399","393","385",902216,x345,,3.0
"24Q530",INTERNATIONAL HIGH SCHOOL AT LAGUARDIA COMMUNITY COLLEGE,"69","326","409","329",855084,x123,"92%",4.0
"24Q550",HIGH SCHOOL FOR ARTS AND BUSINESS,"138","391","403","380",501780,x234,"92%",2.0
"24Q560","ROBERT F. WAGNER, JR. SECONDARY SCHOOL FOR ARTS AND TECHNOLOGY","80","443","447","440",702975,x345,,
"24Q600",QUEENS VOCATIONAL AND TECHNICAL HIGH SCHOOL,"155","417","447","406",683431,x234,,4.0
"24Q610",AVIATION CAREER & TECHNICAL EDUCATION HIGH SCHOOL,"396","445","496","423",777331,,"92%",3.0
"24Q744",VOYAGES PREPARATORY,s,s,s,s,120268,x234,"85%",
"25Q252","QUEENS SCHOOL OF INQUIRY, THE","58","455","498","443",333672,x123,"78%",3.0
"25Q263",FLUSHING INTERNATIONAL HIGH SCHOOL,"45","314","417","318",416654,x234,,1.0
"25Q281",EASTsWEST SCHOOL OF INTERNATIONAL STUDIES,"59","416","463","392",208611,x234,,1.0
"25Q285",WORLD JOURNALISM PREPARATORY: A COLLEGE BOARD SCHOOL,"63","471","489","481",900895,x234,,3.0
"25Q425",JOHN BOWNE HIGH SCHOOL,"558","397","451","395",636437,x345,"78%",2.0
"25Q460",FLUSHING HIGH SCHOOL,"347","393","441","382",141602,x123,"85%",1.0
"25Q467",FLUSHING YABC,"9","378","373","344",223328,x345,"78%",4.0
"25Q525",TOWNSEND HARRIS HIGH SCHOOL,"278","621","651","638",362526,x123,"78%",1.0
"25Q540",QUEENS ACADEMY HIGH SCHOOL,"17","398","382","388",661632,,,2.0
"25Q670",ROBERT F. KENNEDY COMMUNITY HIGH SCHOOL,"99","431","458","441",591892,,"92%",2.0
"25Q792",NORTH QUEENS COMMUNITY HIGH SCHOOL,"7","379","421","377",847586,,"78%",1.0
"26Q415",BENJAMIN N. CARDOZO HIGH SCHOOL,"888","480","545","489",375591,x123,"78%",4.0
"26Q430",FRANCIS LEWIS HIGH SCHOOL,"934","468","539","467",148605,x123,,1.0
"26Q435",MARTIN VAN BUREN HIGH SCHOOL,"334","391","397","384",152888,x345,"78%",3.0
"26Q495",BAYSIDE HIGH SCHOOL,"708","462","523","464",584531,x123,,4.0
"26Q566","QUEENS HIGH SCHOOL OF TEACHING, LIBERAL ARTS AND THE SCIENCES","175","425","434","420",150229,x234,"85%",4.0
"27Q260",FREDERICK DOUGLASS ACADEMY VI HIGH SCHOOL,"87","387","385","373",216311,x123,"85%",3.0
"27Q262",CHANNEL VIEW SCHOOL FOR RESEARCH,"74","432","419","401",968929,x234,"78%",2.0
"27Q302","QUEENS HIGH SCHOOL FOR INFORMATION, RESEARCH, AND TECHNOLOGY","44","391","401","364",292533,x345,"85%",4.0
"27Q308",ROBERT H. GODDARD HIGH SCHOOL OF COMMUNICATION ARTS AND TECHNOLOGY,"93","423","426","416",676177,x345,,4.0
"27Q309",ACADEMY OF MEDICAL TECHNOLOGY: A COLLEGE BOARD SCHOOL,"36","367","379","348",933051,,"92%",
"27Q323",SCHOLARS' ACADEMY,"89","499","537","496",291769,x123,"78%",3.0
"27Q400",AUGUST MARTIN HIGH SCHOOL,"101","377","371","360",691098,x234,"78%",4.0
"27Q410",BEACH CHANNEL HIGH SCHOOL,"78","384","396","354",503694,x234,,1.0
"27Q475",RICHMOND HILL HIGH SCHOOL,"404","382","404","368",156250,x345,"78%",4.0
"27Q480",JOHN ADAMS HIGH SCHOOL,"403","391","409","392",863765,,"92%",1.0
"27Q650","HIGH SCHOOL FOR CONSTRUCTION TRADES, ENGINEERING AND ARCHITECTURE","194","429","491","425",776444,x123,"85%",3.0
"28Q284",YORK EARLY COLLEGE ACADEMY,s,s,s,s,965048,x345,"78%",4.0
"28Q310",QUEENS COLLEGIATE: A COLLEGE BOARD SCHOOL,"68","420","445","400",880835,x234,"78%",4.0
"28Q325",HILLSIDE ARTS & LETTERS ACADEMY,s,s,s,s,267544,x345,"92%",1.0
"28Q338",QUEENS SATELLITE HIGH SCHOOL FOR OPPORTUNITY,"6","403","408","367",553915,x345,"92%",4.0
"28Q350",JAMAICA GATEWAY TO THE SCIENCES,"25","430","452","425",904223,x234,"78%",2.0
"28Q440",FOREST HILLS HIGH SCHOOL,"762","456","497","454",597825,x234,"78%",1.0
"28Q470",JAMAICA HIGH SCHOOL,"90","342","999","353",587904,x234,"92%",3.0
"28Q505",HILLCREST HIGH SCHOOL,"462","395","413","386",317746,x123,"85%",2.0
"28Q620",THOMAS A. EDISON CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,"422","452","478","442",353160,x123,"85%",2.0
"28Q680",QUEENS GATEWAY TO HEALTH SCIENCES SECONDARY SCHOOL,"99","513","523","502",745665,x345,"85%",1.0
"28Q686",QUEENS METROPOLITAN HIGH SCHOOL,s,s,s,s,973896,,"78%",3.0
"28Q687",QUEENS HIGH SCHOOL FOR THE SCIENCES AT YORK COLLEGE,"121","612","660","596",936593,,"92%",2.0
"28Q690",HIGH SCHOOL FOR LAW ENFORCEMENT AND PUBLIC SAFETY,"74","406","406","384",216035,x234,,4.0
"28Q896","YOUNG WOMEN'S LEADERSHIP SCHOOL, QUEENS","68","439","445","432",597664,x123,"92%",1.0
"29Q248",QUEENS PREPARATORY ACADEMY,"52","360","380","359",505363,x123,"85%",
"29Q259",PATHWAYS COLLEGE PREPARATORY SCHOOL: A COLLEGE BOARD SCHOOL,"46","401","397","375",231477,,"92%",1.0
"29Q265",EXCELSIOR PREPARATORY HIGH SCHOOL,"49","402","398","402",268657,x123,"85%",
"29Q272",GEORGE WASHINGTON CARVER HIGH SCHOOL FOR THE SCIENCES,"59","436","427","424",458826,x123,"92%",2.0
"29Q283",PREPARATORY ACADEMY FOR WRITERS: A COLLEGE BOARD SCHOOL,"43","370","1100","363",462173,x345,"85%",3.0
"29Q326",CAMBRIA HEIGHTS ACADEMY,s,s,s,s,666479,x123,"78%",
"29Q492","MATHEMATICS, SCIENCE RESEARCH AND TECHNOLOGY MAGNET HIGH SCHOOL","78","400","426","394",790855,x345,"92%",
"29Q494","LAW, GOVERNMENT AND COMMUNITY SERVICE HIGH SCHOOL","52","385","377","377",245490,x123,"85%",
"29Q496","BUSINESS, COMPUTER APPLICATIONS & ENTREPRENEURSHIP HIGH SCHOOL","49","379","414","359",455709,x123,,3.0
"29Q498",HUMANITIES & ARTS MAGNET HIGH SCHOOL,"62","393","381","377",341277,x123,"78%",
"30Q286","YOUNG WOMEN'S LEADERSHIP SCHOOL, ASTORIA",s,s,s,s,336296,,"78%",2.0
"30Q301",ACADEMY FOR CAREERS IN TELEVISION AND FILM,"98","410","440","405",515061,x123,"78%",4.0
"30Q445",WILLIAM CULLEN BRYANT HIGH SCHOOL,"395","414","449","412",894217,,"85%",4.0
"30Q450",LONG ISLAND CITY HIGH SCHOOL,"392","403","420","395",352878,x345,"92%",3.0
"30Q501",FRANK SINATRA SCHOOL OF THE ARTS HIGH SCHOOL,"174","504","496","494",794171,,"92%",2.0
"30Q502",INFORMATION TECHNOLOGY HIGH SCHOOL,"148","407","434","398",730551,x345,,4.0
"30Q555",NEWCOMERS HIGH SCHOOL,"143","323","475","329",305938,x123,"78%",2.0
"30Q575",ACADEMY OF AMERICAN STUDIES,"135","487","492","491",180221,x345,,4.0
"30Q580",BACCALAUREATE SCHOOL FOR GLOBAL EDUCATION,"61","524","568","544",595723,x345,"78%",3.0
"31R047",CSI HIGH SCHOOL FOR INTERNATIONAL STUDIES,"137","452","451","450",654645,x345,"92%",4.0
"31R064",GAYNOR MCCOWN EXPEDITIONARY LEARNING SCHOOL,"61","398","412","385",140691,x123,"92%",1.0
"31R080",THE MICHAEL J. PETRIDES SCHOOL,"107","472","488","466",844244,x123,,1.0
"31R440",NEW DORP HIGH SCHOOL,"391","424","437","416",909567,x345,"92%",1.0
"31R445",PORT RICHMOND HIGH SCHOOL,"271","424","438","417",145678,x234,,3.0
"31R450",CURTIS HIGH SCHOOL,"375","437","435","429",315495,x234,"92%",4.0
"31R455",TOTTENVILLE HIGH SCHOOL,"807","462","486","470",308512,x123,"92%",
"31R460",SUSAN E. WAGNER HIGH SCHOOL,"535","455","474","459",240660,x123,,2.0
"31R470",CONCORD HIGH SCHOOL,"10","466","455","414",974386,,,3.0
"31R600",RALPH R. MCKEE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,"94","416","422","397",730239,x234,"85%",3.0
"31R605",STATEN ISLAND TECHNICAL HIGH SCHOOL,"227","635","682","636",739097,x123,,2.0
"31R607",YOUNG ADULT BOROUGH CENTER AT STATEN IS TECH HS,"10","405","375","370",653176,x345,"78%",1.0
"32K403",ACADEMY FOR ENVIRONMENTAL LEADERSHIP,"50","380","366","352",501650,x345,"92%",
"32K545",EBC HIGH SCHOOL FOR PUBLIC SERVICEâ€“BUSHWICK,"88","384","409","361",221431,,"85%",3.0
"32K549",BUSHWICK SCHOOL FOR SOCIAL JUSTICE,"75","348","353","334",954491,x234,"85%",3.0
"32K552",ACADEMY OF URBAN PLANNING,"67","342","364","354",695572,x234,"92%",3.0
"32K554",ALL CITY LEADERSHIP SECONDARY SCHOOL,"39","428","465","422",587220,,,2.0
"32K556",BUSHWICK LEADERS HIGH SCHOOL FOR ACADEMIC EXCELLENCE,"23","347","358","350",658210,,"92%",2.0
"32K564",BUSHWICK COMMUNITY HIGH SCHOOL,"24","359","317","358",898918,,"92%",4.0
"75K371",P.S. 371 s LILLIAN L. RASHKIS,s,s,s,s,240795,x234,"85%",1.0
"75M035",P.S. 035,s,s,s,s,861847,x123,,4.0
"75Q256",P.S. Q256,s,s,s,s,320205,x234,"85%",1.0
"75Q811",P.S. Q811,"32","429","444","433",467937,x123,"78%",1.0
"75R025",SOUTH RICHMOND HIGH SCHOOL I.S./P.S. 25,s,s,s,s,789985,,"78%",1.0
"75X012",P.S. X012 LEWIS AND CLARK SCHOOL,s,s,s,s,733698,x234,"92%",1.0
"75X754",J. M. RAPPORT SCHOOL CAREER DEVELOPMENT,s,s,s,s,976034,x345,,4.0
"79M645",SCHOOL FOR COOPERATIVE TECHNICAL EDUCATION,s,s,s,s,556924,x123,"85%",1.0
"79Q950",GED PLUS s CITYWIDE,"8","496","400","426",544514,x234,"92%",2.0
"79X490",PHOENIX ACADEMY,"9","367","370","360",248647,x234,"85%",
"14K685",EL PUENTE ACADEMY FOR PEACE AND JUSTICE,"28","359","335","341",688392,x345,"92%",4.0
"13K605",GEORGE WESTINGHOUSE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,"85","406","391","392",937579,x234,,
"27Q480",JOHN ADAMS HIGH SCHOOL,"403","391","409","392",863765,,"92%",1.0
"07X221",SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL,"65","364","378","348",277389,x345,"92%",
"19K420",FRANKLIN K. LANE HIGH SCHOOL,s,s,s,s,134918,,"78%",3.0
"09X525",BRONX LEADERSHIP ACADEMY HIGH SCHOOL,"114","384","394","388",906925,x234,"92%",1.0
"02M520",MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS CAREERS,"264","407","440","393",892839,,"92%",2.0
"17K543","SCIENCE, TECHNOLOGY AND RESEARCH EARLY COLLEGE HIGH SCHOOL AT ERASMUS","69","457","462","441",999398,x345,"85%",
"02M419",LANDMARK HIGH SCHOOL,"62","390","399","381",166135,x123,"78%",2.0
"05M304",MOTT HALL HIGH SCHOOL,"54","413","399","398",296405,x123,"78%",2.0
"27Q480",JOHN ADAMS HIGH SCHOOL,"403","391","409","392",863765,,"92%",1.0
"13K605",GEORGE WESTINGHOUSE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,"85","406","391","392",937579,x234,,
"05M304",MOTT HALL HIGH SCHOOL,"54","413","399","398",296405,x123,"78%",2.0
"02M520",MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS CAREERS,"264","407","440","393",892839,,"92%",2.0
"07X221",SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL,"65","364","378","348",277389,x345,"92%",
