dbn,school_name,num_of_sat_test_takers,sat_critical_reading_avg._score,sat_math_avg._score,sat_writing_avg._score,sat_critical_readng_avg._score,internal_school_id,pct_students_tested,academic_tier_rating
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,29.0,355.0,404.0,363.0,355,218160,78.0,2.0
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,91.0,383.0,423.0,366.0,383,268547,84.66876971608833,3.0
01M450,EAST SIDE COMMUNITY SCHOOL,70.0,377.0,402.0,370.0,377,236446,84.66876971608833,3.0
01M458,FORSYTH SATELLITE ACADEMY,7.0,414.0,401.0,359.0,414,427826,92.0,4.0
01M509,MARTA VALLE HIGH SCHOOL,44.0,390.0,433.0,384.0,390,672714,92.0,2.0
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,112.0,332.0,557.0,316.0,332,414951,84.66876971608833,3.0
01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",159.0,522.0,574.0,525.0,522,697107,78.0,2.0
01M650,CASCADES HIGH SCHOOL,18.0,417.0,418.0,411.0,417,297600,92.0,4.0
01M696,BARD HIGH SCHOOL EARLY COLLEGE,130.0,624.0,604.0,628.0,624,881396,84.66876971608833,
02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,16.0,395.0,400.0,387.0,395,751293,78.0,4.0
02M288,FOOD AND FINANCE HIGH SCHOOL,62.0,409.0,393.0,392.0,409,366268,92.0,
02M294,ESSEX STREET ACADEMY,53.0,394.0,384.0,378.0,394,782993,78.0,4.0
02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,58.0,374.0,375.0,362.0,374,828714,92.0,3.0
02M298,PACE HIGH SCHOOL,85.0,423.0,438.0,432.0,423,778948,78.0,2.0
02M300,"URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION, THE",48.0,404.0,449.0,416.0,404,107670,92.0,
02M303,"FACING HISTORY SCHOOL, THE",76.0,353.0,358.0,340.0,353,612918,84.66876971608833,
02M305,"URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE",50.0,375.0,388.0,385.0,375,746648,85.0,
02M308,LOWER MANHATTAN ARTS ACADEMY,40.0,403.0,392.0,405.0,403,642722,84.66876971608833,4.0
02M313,"JAMES BALDWIN SCHOOL, THE: A SCHOOL FOR EXPEDITIONARY LEARNING",69.0,408.0,390.0,390.0,408,981746,84.66876971608833,2.0
02M316,"URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN, THE",42.0,373.0,370.0,384.0,373,183677,92.0,
02M374,GRAMERCY ARTS HIGH SCHOOL,60.0,391.0,391.0,394.0,391,104952,85.0,
02M376,NYC ISCHOOL,92.0,473.0,483.0,479.0,473,553041,78.0,4.0
02M394,EMMA LAZARUS HIGH SCHOOL,79.0,319.0,512.0,357.0,319,356123,78.0,2.0
02M400,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,263.0,465.0,493.0,461.0,465,449778,84.66876971608833,2.0
02M407,INSTITUTE FOR COLLABORATIVE EDUCATION,54.0,492.0,465.0,467.0,492,992626,85.0,
02M408,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,94.0,509.0,490.0,523.0,509,765316,92.0,1.0
02M411,BARUCH COLLEGE CAMPUS HIGH SCHOOL,104.0,496.0,563.0,518.0,496,381202,84.66876971608833,3.0
02M412,N.Y.C. LAB SCHOOL FOR COLLABORATIVE STUDIES,114.0,537.0,590.0,550.0,537,425108,92.0,4.0
02M413,SCHOOL OF THE FUTURE HIGH SCHOOL,66.0,517.0,533.0,515.0,517,319140,85.0,3.0
02M414,N.Y.C. MUSEUM SCHOOL,103.0,468.0,492.0,459.0,468,414827,92.0,1.0
02M416,ELEANOR ROOSEVELT HIGH SCHOOL,127.0,572.0,594.0,592.0,572,799903,92.0,2.0
02M418,MILLENNIUM HIGH SCHOOL,144.0,528.0,553.0,533.0,528,848911,85.0,2.0
02M419,LANDMARK HIGH SCHOOL,62.0,390.0,399.0,381.0,390,166135,78.0,2.0
02M420,HIGH SCHOOL FOR HEALTH PROFESSIONS AND HUMAN SERVICES,336.0,429.0,449.0,428.0,429,909712,92.0,3.0
02M425,LEADERSHIP AND PUBLIC SERVICE HIGH SCHOOL,84.0,416.0,426.0,391.0,416,436071,92.0,4.0
02M429,LEGACY SCHOOL FOR INTEGRATED STUDIES,29.0,356.0,357.0,349.0,356,536177,92.0,1.0
02M439,MANHATTAN VILLAGE ACADEMY,95.0,441.0,473.0,458.0,441,190235,85.0,1.0
02M440,BAYARD RUSTIN EDUCATIONAL COMPLEX,59.0,378.0,365.0,368.0,378,649686,92.0,2.0
02M449,VANGUARD HIGH SCHOOL,72.0,395.0,416.0,388.0,395,320922,85.0,4.0
02M459,MANHATTAN INTERNATIONAL HIGH SCHOOL,49.0,376.0,460.0,391.0,376,563511,85.0,3.0
02M460,WASHINGTON IRVING HIGH SCHOOL,151.0,373.0,387.0,360.0,373,717859,78.0,3.0
02M475,STUYVESANT HIGH SCHOOL,832.0,679.0,735.0,682.0,679,295947,84.66876971608833,4.0
02M489,HIGH SCHOOL OF ECONOMICS AND FINANCE,167.0,443.0,489.0,442.0,443,775466,92.0,4.0
02M500,UNITY CENTER FOR URBAN TECHNOLOGIES,25.0,370.0,349.0,351.0,370,560831,84.66876971608833,
02M519,TALENT UNLIMITED HIGH SCHOOL,81.0,469.0,472.0,475.0,469,641361,84.66876971608833,
02M520,MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS CAREERS,264.0,407.0,440.0,393.0,407,892839,92.0,2.0
02M529,JACQUELINE KENNEDY ONASSIS HIGH SCHOOL,131.0,414.0,425.0,400.0,414,643403,85.0,4.0
02M531,REPERTORY COMPANY HIGH SCHOOL FOR THEATRE ARTS,42.0,429.0,404.0,420.0,429,630240,84.66876971608833,
02M542,MANHATTAN BRIDGES HIGH SCHOOL,66.0,336.0,378.0,344.0,336,794996,85.0,
02M543,NEW DESIGN HIGH SCHOOL,73.0,391.0,395.0,382.0,391,246078,78.0,2.0
02M544,INDEPENDENCE HIGH SCHOOL,14.0,389.0,371.0,335.0,389,657823,85.0,3.0
02M545,HIGH SCHOOL FOR DUAL LANGUAGE AND ASIAN STUDIES,78.0,412.0,581.0,431.0,412,216576,78.0,1.0
02M550,LIBERTY HIGH SCHOOL ACADEMY FOR NEWCOMERS,26.0,368.0,436.0,352.0,368,651973,78.0,4.0
02M551,THE URBAN ASSEMBLY NEW YORK HARBOR SCHOOL,77.0,405.0,423.0,384.0,405,527749,92.0,3.0
02M560,HIGH SCHOOL M560 s CITY AS SCHOOL,56.0,498.0,440.0,477.0,498,785873,85.0,4.0
02M565,URBAN ACADEMY LABORATORY HIGH SCHOOL,30.0,527.0,508.0,512.0,527,660366,85.0,4.0
02M570,SATELLITE ACADEMY HIGH SCHOOL,33.0,350.0,337.0,345.0,350,875682,85.0,1.0
02M575,MANHATTAN COMPREHENSIVE NIGHT AND DAY HIGH SCHOOL,121.0,345.0,517.0,343.0,345,683603,78.0,1.0
02M580,RICHARD R. GREEN HIGH SCHOOL OF TEACHING,84.0,408.0,384.0,403.0,408,947461,84.66876971608833,4.0
02M586,HARVEY MILK HIGH SCHOOL,9.0,458.0,416.0,429.0,458,392545,85.0,4.0
02M600,THE HIGH SCHOOL OF FASHION INDUSTRIES,335.0,423.0,423.0,411.0,423,894293,78.0,1.0
02M605,HUMANITIES PREPARATORY ACADEMY,36.0,426.0,403.0,426.0,426,930254,84.66876971608833,1.0
02M615,CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,83.0,399.0,418.0,390.0,399,477516,92.0,4.0
02M620,NORMAN THOMAS HIGH SCHOOL,154.0,370.0,379.0,359.0,370,655935,84.66876971608833,
02M625,HIGH SCHOOL OF GRAPHIC COMMUNICATION ARTS,191.0,395.0,382.0,376.0,395,754225,84.66876971608833,2.0
02M630,ART AND DESIGN HIGH SCHOOL,270.0,444.0,441.0,430.0,444,850641,85.0,
02M655,LIFE SCIENCES SECONDARY SCHOOL,61.0,409.0,424.0,403.0,409,885497,92.0,2.0
03M283,MANHATTAN THEATRE LAB HIGH SCHOOL,27.0,406.0,379.0,408.0,406,413786,85.0,3.0
03M299,"HIGH SCHOOL FOR ARTS, IMAGINATION AND INQUIRY",49.0,374.0,384.0,374.0,374,737942,84.66876971608833,1.0
03M307,"URBAN ASSEMBLY SCHOOL FOR MEDIA STUDIES, THE",41.0,384.0,390.0,370.0,384,448562,78.0,4.0
03M404,INNOVATION DIPLOMA PLUS,12.0,416.0,403.0,381.0,416,954823,92.0,4.0
03M470,LOUIS D. BRANDEIS HIGH SCHOOL,131.0,370.0,390.0,358.0,370,731158,84.66876971608833,4.0
03M479,BEACON HIGH SCHOOL,261.0,577.0,575.0,592.0,577,678328,92.0,2.0
03M485,FIORELLO H. LAGUARDIA HIGH SCHOOL OF MUSIC & ART AND PERFORMING ARTS,531.0,566.0,564.0,577.0,566,567972,92.0,3.0
03M492,"HIGH SCHOOL FOR LAW, ADVOCACY AND COMMUNITY JUSTICE",66.0,396.0,398.0,402.0,396,778640,92.0,2.0
03M494,HIGH SCHOOL OF ARTS AND TECHNOLOGY,75.0,433.0,433.0,411.0,433,921952,85.0,1.0
03M505,EDWARD A. REYNOLDS WEST SIDE HIGH SCHOOL,35.0,401.0,369.0,351.0,401,635847,92.0,3.0
03M541,MANHATTAN / HUNTER SCIENCE HIGH SCHOOL,111.0,473.0,506.0,467.0,473,955192,78.0,2.0
03M860,FREDERICK DOUGLASS ACADEMY II SECONDARY SCHOOL,43.0,356.0,379.0,361.0,356,503561,92.0,2.0
04M409,COALITION SCHOOL FOR SOCIAL CHANGE,48.0,354.0,357.0,373.0,354,379117,92.0,3.0
04M435,MANHATTAN CENTER FOR SCIENCE AND MATHEMATICS,375.0,461.0,514.0,455.0,461,292563,85.0,1.0
04M495,PARK EAST HIGH SCHOOL,51.0,373.0,379.0,376.0,373,671970,84.66876971608833,2.0
04M555,CENTRAL PARK EAST HIGH SCHOOL,73.0,405.0,421.0,395.0,405,970677,78.0,2.0
04M610,YOUNG WOMEN'S LEADERSHIP SCHOOL,70.0,432.0,446.0,448.0,432,880781,92.0,1.0
04M635,ACADEMY OF ENVIRONMENTAL SCIENCE SECONDARY HIGH SCHOOL,48.0,369.0,369.0,357.0,369,968745,92.0,2.0
04M680,"HERITAGE SCHOOL, THE",31.0,358.0,351.0,345.0,358,141965,78.0,3.0
05M285,HARLEM RENAISSANCE HIGH SCHOOL,29.0,357.0,318.0,333.0,357,737575,92.0,3.0
05M304,MOTT HALL HIGH SCHOOL,54.0,413.0,399.0,398.0,413,296405,78.0,2.0
05M367,ACADEMY FOR SOCIAL ACTION: A COLLEGE BOARD SCHOOL,33.0,354.0,366.0,342.0,354,680647,78.0,3.0
05M369,URBAN ASSEMBLY SCHOOL FOR THE PERFORMING ARTS,56.0,360.0,353.0,364.0,360,442306,85.0,3.0
05M469,CHOIR ACADEMY OF HARLEM,20.0,354.0,360.0,385.0,354,594021,85.0,4.0
05M499,FREDERICK DOUGLASS ACADEMY,214.0,458.0,474.0,442.0,458,813534,92.0,1.0
05M670,THURGOOD MARSHALL ACADEMY FOR LEARNING AND SOCIAL CHANGE,66.0,396.0,402.0,404.0,396,530977,92.0,3.0
05M685,BREAD & ROSES INTEGRATED ARTS HIGH SCHOOL,61.0,369.0,361.0,355.0,369,371377,84.66876971608833,
05M692,"HIGH SCHOOL FOR MATHEMATICS, SCIENCE AND ENGINEERING AT CITY COLLEGE",101.0,605.0,654.0,588.0,605,302370,78.0,1.0
06M293,CITY COLLEGE ACADEMY OF THE ARTS,60.0,408.0,446.0,416.0,408,604767,84.66876971608833,3.0
06M346,COMMUNITY HEALTH ACADEMY OF THE HEIGHTS,55.0,362.0,376.0,367.0,362,654733,84.66876971608833,2.0
06M348,WASHINGTON HEIGHTS EXPEDITIONARY LEARNING SCHOOL,70.0,380.0,395.0,399.0,380,339162,78.0,1.0
06M457,GEORGE WASHINGTON YABC,7.0,394.0,357.0,346.0,394,381754,92.0,4.0
06M462,HIGH SCHOOL FOR INTERNATIONAL BUSINESS AND FINANCE,76.0,365.0,384.0,378.0,365,933430,84.66876971608833,
06M463,HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS,63.0,369.0,380.0,349.0,369,131970,92.0,3.0
06M467,HIGH SCHOOL FOR LAW AND PUBLIC SERVICE,94.0,363.0,378.0,361.0,363,344969,78.0,2.0
06M468,HIGH SCHOOL FOR HEALTH CAREERS AND SCIENCES,24.0,400.0,422.0,402.0,400,842071,78.0,1.0
06M540,A. PHILIP RANDOLPH CAMPUS HIGH SCHOOL,228.0,430.0,456.0,423.0,430,547675,78.0,3.0
06M552,GREGORIO LUPERON HIGH SCHOOL FOR SCIENCE AND MATHEMATICS,56.0,339.0,349.0,326.0,339,603045,78.0,2.0
07X221,SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL,65.0,364.0,378.0,348.0,364,277389,92.0,
07X321,CROTONA ACADEMY HIGH SCHOOL,9.0,379.0,364.0,382.0,379,821462,92.0,4.0
07X334,INTERNATIONAL COMMUNITY HIGH SCHOOL,34.0,310.0,324.0,311.0,310,791798,85.0,4.0
07X427,COMMUNITY SCHOOL FOR SOCIAL JUSTICE,43.0,361.0,359.0,357.0,361,460390,92.0,1.0
07X473,MOTT HAVEN VILLAGE PREPARATORY HIGH SCHOOL,63.0,351.0,375.0,371.0,351,922114,78.0,1.0
07X495,UNIVERSITY HEIGHTS SECONDARY SCHOOL,79.0,403.0,394.0,404.0,403,913548,85.0,3.0
07X500,HOSTOSsLINCOLN ACADEMY OF SCIENCE,66.0,420.0,426.0,411.0,420,852272,85.0,2.0
07X520,FOREIGN LANGUAGE ACADEMY OF GLOBAL STUDIES,64.0,399.0,396.0,391.0,399,458204,84.66876971608833,3.0
07X527,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,62.0,362.0,378.0,363.0,362,553153,84.66876971608833,4.0
07X547,NEW EXPLORERS HIGH SCHOOL,28.0,367.0,356.0,361.0,367,113401,92.0,
07X548,URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS,44.0,387.0,411.0,383.0,387,875037,84.66876971608833,2.0
07X551,BRONX ACADEMY OF LETTERS,51.0,413.0,381.0,407.0,413,412580,92.0,3.0
07X600,ALFRED E. SMITH CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,76.0,394.0,400.0,364.0,394,327975,78.0,1.0
07X655,SAMUEL GOMPERS CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,47.0,398.0,416.0,370.0,398,723932,84.66876971608833,1.0
07X670,HEALTH OPPORTUNITIES HIGH SCHOOL,114.0,363.0,368.0,364.0,363,599605,85.0,
08X282,WOMEN'S ACADEMY OF EXCELLENCE,44.0,407.0,386.0,378.0,407,620873,84.66876971608833,2.0
08X293,RENAISSANCE HIGH SCHOOL FOR MUSICAL THEATER & TECHNOLOGY,52.0,384.0,385.0,389.0,384,908269,78.0,2.0
08X295,GATEWAY SCHOOL FOR ENVIRONMENTAL RESEARCH AND TECHNOLOGY,41.0,416.0,390.0,394.0,416,939020,78.0,
08X305,PABLO NERUDA ACADEMY FOR ARCHITECTURE AND WORLD STUDIES,67.0,337.0,361.0,340.0,337,159654,78.0,2.0
08X312,MILLENNIUM ART ACADEMY,67.0,387.0,402.0,375.0,387,635239,78.0,1.0
08X332,HOLCOMBE L. RUCKER SCHOOL OF COMMUNITY RESEARCH,39.0,363.0,371.0,350.0,363,953485,78.0,1.0
08X377,BRONX COMMUNITY HIGH SCHOOL,9.0,367.0,369.0,376.0,367,146673,84.66876971608833,
08X405,HERBERT H. LEHMAN HIGH SCHOOL,415.0,412.0,436.0,393.0,412,534496,92.0,2.0
08X408,HERBERT H. LEHMAN YABC,6.0,402.0,373.0,413.0,402,399276,85.0,2.0
08X452,BRONX GUILD,39.0,369.0,371.0,365.0,369,915453,84.66876971608833,1.0
08X519,"FELISA RINCON DE GAUTIER INSTITUTE FOR LAW AND PUBLIC POLICY, THE",68.0,373.0,370.0,356.0,373,719359,84.66876971608833,3.0
08X530,BANANA KELLY HIGH SCHOOL,54.0,373.0,381.0,377.0,373,189134,92.0,3.0
08X540,SCHOOL FOR COMMUNITY RESEARCH AND LEARNING,16.0,366.0,400.0,368.0,366,504978,78.0,4.0
08X560,HIGH SCHOOL X560 s BRONX ACADEMY HIGH SCHOOL,9.0,404.0,368.0,399.0,404,906309,78.0,2.0
08X650,JANE ADDAMS HIGH SCHOOL FOR ACADEMIC CAREERS,78.0,377.0,359.0,376.0,377,411110,78.0,
09X227,BRONX EXPEDITIONARY LEARNING HIGH SCHOOL,39.0,324.0,376.0,349.0,324,958742,92.0,
09X231,EAGLE ACADEMY FOR YOUNG MEN,78.0,373.0,387.0,374.0,373,831788,78.0,4.0
09X239,"URBAN ASSEMBLY ACADEMY FOR HISTORY AND CITIZENSHIP FOR YOUNG MEN, THE",33.0,372.0,355.0,357.0,372,746616,85.0,4.0
09X241,"URBAN ASSEMBLY SCHOOL FOR APPLIED MATH AND SCIENCE, THE",80.0,411.0,464.0,415.0,411,430330,85.0,2.0
09X250,EXIMIUS COLLEGE PREPARATORY ACADEMY: A COLLEGE BOARD SCHOOL,50.0,393.0,394.0,382.0,393,183756,78.0,4.0
09X252,MOTT HALL BRONX HIGH SCHOOL,67.0,369.0,367.0,356.0,369,183078,85.0,4.0
09X260,BRONX CENTER FOR SCIENCE AND MATHEMATICS,81.0,459.0,480.0,457.0,459,840464,85.0,
09X263,VALIDUS PREPARATORY ACADEMY: AN EXPEDITIONARY LEARNING SCHOOL,74.0,356.0,363.0,356.0,356,250874,92.0,
09X276,LEADERSHIP INSTITUTE,30.0,361.0,353.0,367.0,361,601974,85.0,3.0
09X297,MORRIS ACADEMY FOR COLLABORATIVE STUDIES,38.0,386.0,386.0,376.0,386,593297,92.0,1.0
09X329,DREAMYARD PREPARATORY SCHOOL,51.0,382.0,365.0,391.0,382,559037,85.0,4.0
09X365,ACADEMY FOR LANGUAGE AND TECHNOLOGY,54.0,315.0,339.0,297.0,315,289455,84.66876971608833,1.0
09X403,BRONX INTERNATIONAL HIGH SCHOOL,49.0,314.0,312.0,339.0,314,792726,78.0,4.0
09X404,SCHOOL FOR EXCELLENCE,32.0,363.0,360.0,351.0,363,738581,85.0,2.0
09X412,BRONX HIGH SCHOOL OF BUSINESS,34.0,356.0,376.0,351.0,356,160081,85.0,1.0
09X413,BRONX HIGH SCHOOL FOR MEDICAL SCIENCE,64.0,400.0,419.0,402.0,400,769242,92.0,4.0
09X414,JONATHAN LEVIN HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS,35.0,379.0,364.0,379.0,379,270670,85.0,2.0
09X505,"BRONX SCHOOL FOR LAW, GOVERNMENT AND JUSTICE",80.0,404.0,418.0,402.0,404,568598,84.66876971608833,4.0
09X517,FREDERICK DOUGLASS ACADEMY III SECONDARY SCHOOL,50.0,368.0,384.0,369.0,368,898217,85.0,3.0
09X525,BRONX LEADERSHIP ACADEMY HIGH SCHOOL,114.0,384.0,394.0,388.0,384,906925,92.0,1.0
09X543,HIGH SCHOOL FOR VIOLIN AND DANCE,27.0,353.0,315.0,371.0,353,788221,85.0,
10X141,RIVERDALE / KINGSBRIDGE ACADEMY (MIDDLE SCHOOL / HIGH SCHOOL 141),113.0,438.0,455.0,440.0,438,718131,78.0,
10X213,BRONX ENGINEERING AND TECHNOLOGY ACADEMY,86.0,373.0,412.0,365.0,373,163342,84.66876971608833,4.0
10X237,"THE MARIE CURIE SCHOOL FOR MEDICINE, NURSING, AND HEALTH PROFESSIONS",79.0,382.0,393.0,382.0,382,652542,78.0,1.0
10X243,WEST BRONX ACADEMY FOR THE FUTURE,26.0,382.0,406.0,370.0,382,532813,92.0,2.0
10X268,KINGSBRIDGE INTERNATIONAL HIGH SCHOOL,52.0,304.0,356.0,302.0,304,127586,92.0,2.0
10X284,BRONX SCHOOL OF LAW AND FINANCE,54.0,402.0,395.0,385.0,402,105294,84.66876971608833,2.0
10X342,INTERNATIONAL SCHOOL FOR LIBERAL ARTS,49.0,300.0,333.0,301.0,300,421471,78.0,
10X368,INsTECH ACADEMY (M.S. / HIGH SCHOOL 368),111.0,390.0,408.0,383.0,390,503135,85.0,3.0
10X374,KNOWLEDGE AND POWER PREPARATORY ACADEMY INTERNATIONAL HIGH SCHOOL (KAPPA),61.0,392.0,401.0,387.0,392,909525,84.66876971608833,2.0
10X397,ENGLISH LANGUAGE LEARNERS AND INTERNATIONAL SUPPORT PREPARATORY ACADEMY (ELLIS),38.0,343.0,356.0,330.0,343,567351,78.0,
10X433,HIGH SCHOOL FOR TEACHING AND THE PROFESSIONS,57.0,370.0,371.0,365.0,370,538852,85.0,1.0
10X434,BELMONT PREPARATORY HIGH SCHOOL,51.0,404.0,418.0,400.0,404,730850,78.0,
10X437,FORDHAM HIGH SCHOOL FOR THE ARTS,48.0,355.0,350.0,372.0,355,438977,85.0,
10X438,FORDHAM LEADERSHIP ACADEMY FOR BUSINESS AND TECHNOLOGY,63.0,367.0,385.0,367.0,367,918302,78.0,4.0
10X439,BRONX HIGH SCHOOL FOR LAW AND COMMUNITY SERVICE,65.0,366.0,364.0,352.0,366,869041,84.66876971608833,2.0
10X440,DEWITT CLINTON HIGH SCHOOL,443.0,419.0,426.0,410.0,419,367828,85.0,
10X442,"CELIA CRUZ BRONX HIGH SCHOOL OF MUSIC, THE",52.0,423.0,420.0,427.0,423,202180,84.66876971608833,1.0
10X445,BRONX HIGH SCHOOL OF SCIENCE,731.0,632.0,688.0,649.0,632,816688,84.66876971608833,
10X475,JOHN F. KENNEDY HIGH SCHOOL,109.0,351.0,362.0,339.0,351,828171,78.0,3.0
10X477,MARBLE HILL HIGH SCHOOL FOR INTERNATIONAL STUDIES,99.0,414.0,435.0,414.0,414,782106,78.0,3.0
10X546,BRONX THEATRE HIGH SCHOOL,68.0,348.0,362.0,354.0,348,794120,78.0,4.0
10X549,DISCOVERY HIGH SCHOOL,55.0,372.0,379.0,364.0,372,410088,84.66876971608833,
10X660,GRACE DODGE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,73.0,362.0,382.0,356.0,362,370212,85.0,
10X667,GRACE DODGE YABC,10.0,350.0,356.0,317.0,350,220963,84.66876971608833,4.0
10X696,HIGH SCHOOL OF AMERICAN STUDIES AT LEHMAN COLLEGE,92.0,636.0,648.0,636.0,636,276137,84.66876971608833,1.0
11X249,BRONX HEALTH SCIENCES HIGH SCHOOL,74.0,370.0,381.0,382.0,370,264250,84.66876971608833,4.0
11X253,BRONX HIGH SCHOOL FOR WRITING AND COMMUNICATION ARTS,46.0,400.0,357.0,390.0,400,176092,84.66876971608833,3.0
11X265,BRONX LAB SCHOOL,81.0,377.0,391.0,367.0,377,350123,78.0,4.0
11X270,ACADEMY FOR SCHOLARSHIP AND ENTREPRENEURSHIP: A COLLEGE BOARD SCHOOL,56.0,386.0,394.0,361.0,386,112591,85.0,3.0
11X275,HIGH SCHOOL OF COMPUTERS AND TECHNOLOGY,72.0,381.0,376.0,354.0,381,244509,84.66876971608833,3.0
11X288,COLLEGIATE INSTITUTE FOR MATH AND SCIENCE,97.0,444.0,471.0,433.0,444,929871,92.0,3.0
11X290,BRONX ACADEMY OF HEALTH CAREERS,69.0,387.0,365.0,383.0,387,465490,78.0,4.0
11X299,ASTOR COLLEGIATE ACADEMY,60.0,387.0,391.0,391.0,387,421151,92.0,
11X415,CHRISTOPHER COLUMBUS HIGH SCHOOL,121.0,367.0,361.0,353.0,367,222860,84.66876971608833,
11X418,BRONX HIGH SCHOOL FOR THE VISUAL ARTS,48.0,419.0,433.0,416.0,419,754398,78.0,
11X455,HARRY S TRUMAN HIGH SCHOOL,189.0,386.0,397.0,368.0,386,913285,78.0,1.0
11X513,NEW WORLD HIGH SCHOOL,72.0,332.0,381.0,335.0,332,406117,78.0,3.0
11X514,THE BRONXWOOD PREPARATORY ACADEMY,48.0,377.0,372.0,363.0,377,364885,85.0,2.0
11X541,GLOBAL ENTERPRISE HIGH SCHOOL,57.0,372.0,382.0,375.0,372,781847,85.0,4.0
11X542,PELHAM PREPARATORY ACADEMY,76.0,431.0,438.0,419.0,431,229514,84.66876971608833,2.0
11X544,HIGH SCHOOL FOR CONTEMPORARY ARTS,55.0,383.0,378.0,365.0,383,330785,92.0,4.0
11X545,BRONX AEROSPACE HIGH SCHOOL,46.0,388.0,393.0,382.0,388,312943,84.66876971608833,2.0
12X245,NEW DAY ACADEMY,25.0,348.0,344.0,354.0,348,827833,85.0,2.0
12X248,"METROPOLITAN HIGH SCHOOL, THE",49.0,347.0,367.0,341.0,347,653086,85.0,1.0
12X251,EXPLORATIONS ACADEMY,57.0,381.0,381.0,360.0,381,183547,84.66876971608833,2.0
12X262,PERFORMANCE CONSERVATORY HIGH SCHOOL,30.0,361.0,353.0,360.0,361,105176,85.0,
12X267,BRONX LATIN,36.0,408.0,432.0,411.0,408,871863,85.0,1.0
12X271,EAST BRONX ACADEMY FOR THE FUTURE,46.0,366.0,378.0,358.0,366,267221,84.66876971608833,3.0
12X278,PEACE AND DIVERSITY ACADEMY,34.0,390.0,401.0,364.0,390,461474,85.0,3.0
12X388,PAN AMERICAN INTERNATIONAL HIGH SCHOOL AT MONROE,30.0,321.0,351.0,298.0,321,963012,85.0,3.0
